[2025-08-24 18:42:36] [INFO    ] discord.client: logging in using static token
[2025-08-24 18:42:37] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'LockBot', 'primary_guild': None, 'mfa_enabled': False, 'id': '1409202365466415308', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '0702', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': 'abbd0d3b276fa4c4657300e89defe444', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1406357322699378799'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['newark', 'us-east', 'us-central', 'atlanta', 'us-south'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1409202365466415308', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-d-4qvx",{"micros":376381,"calls":["id_created",{"micros":572,"calls":[]},"session_lookup_time",{"micros":191,"calls":[]},"session_lookup_finished",{"micros":8,"calls":[]},"discord-sessions-prd-2-72",{"micros":374342,"calls":["start_session",{"micros":358593,"calls":["discord-api-rpc-b498b7cfc-vjcgx",{"micros":153671,"calls":["get_user",{"micros":6850},"get_guilds",{"micros":7568},"send_scheduled_deletion_message",{"micros":13},"guild_join_requests",{"micros":7086},"authorized_ip_coro",{"micros":17},"pending_payments",{"micros":75827},"apex_experiments",{"micros":48888},"user_activities",{"micros":9},"played_application_ids",{"micros":4}]}]},"starting_guild_connect",{"micros":26,"calls":[]},"presence_started",{"micros":1360,"calls":[]},"guilds_started",{"micros":71,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":14255,"calls":[]},"connect_finished",{"micros":14260,"calls":[]},"build_ready",{"micros":28,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-08-24 18:42:37] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-24 18:42:37] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: abbd0d3b276fa4c4657300e89defe444).
[2025-08-24 18:42:37] [DEBUG   ] discord.client: Dispatching event connect
[2025-08-24 18:42:37] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'splash': None, 'member_count': 2, 'voice_states': [], 'premium_features': None, 'embedded_activities': [], 'presences': [], 'profile': None, 'activity_instances': [], 'icon': None, 'premium_subscription_count': 0, 'afk_channel_id': None, 'hub_type': None, 'inventory_settings': None, 'moderator_reporting': None, 'id': '1406357322699378799', 'afk_timeout': 300, 'incidents_data': None, 'discovery_splash': None, 'name': 'Operation: L.O.C.K.I.N', 'safety_alerts_channel_id': None, 'region': 'deprecated', 'owner_id': '334465552611278850', 'rules_channel_id': None, 'max_stage_video_channel_users': 50, 'threads': [], 'application_id': None, 'home_header': None, 'public_updates_channel_id': None, 'emojis': [], 'system_channel_id': '1406357323605213307', 'description': None, 'nsfw_level': 0, 'unavailable': False, 'banner': None, 'application_command_counts': {}, 'max_members': 25000000, 'nsfw': False, 'system_channel_flags': 0, 'premium_tier': 0, 'stickers': [], 'lazy': True, 'premium_progress_bar_enabled': False, 'owner_configured_content_level': 0, 'preferred_locale': 'en-US', 'roles': [{'version': 1755372114788, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1406357322699378799', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1756074219263, 'unicode_emoji': None, 'tags': {'bot_id': '1409202365466415308'}, 'position': 1, 'permissions': '8', 'name': 'L.O.C.K.I.N', 'mentionable': False, 'managed': True, 'id': '1409210890586161204', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'stage_instances': [], 'members': [{'user': {'username': 'LockBot', 'public_flags': 0, 'primary_guild': None, 'id': '1409202365466415308', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0702', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1409210890586161204'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-24T16:20:58.433118+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'joined_at': '2025-08-24T16:20:58.433118+00:00', 'explicit_content_filter': 0, 'large': False, 'vanity_url_code': None, 'soundboard_sounds': [], 'latest_onboarding_question_id': None, 'version': 1755373495462, 'default_message_notifications': 0, 'mfa_level': 0, 'guild_scheduled_events': [], 'verification_level': 0, 'features': [], 'max_video_channel_users': 25, 'channels': [{'version': 1755373568243, 'type': 4, 'position': 1, 'permission_overwrites': [], 'name': 'Ashleigh', 'id': '1406357323605213305', 'flags': 0}, {'version': 1755373657972, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1406363407682371685', 'name': 'welcome', 'last_message_id': '1409219707701301429', 'id': '1406357323605213307', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1755373462738, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'name': 'General', 'last_message_id': None, 'id': '1406357323605213308', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}, {'version': 1755373568256, 'type': 4, 'position': 2, 'permission_overwrites': [], 'name': 'Maxim', 'id': '1406363170464989184', 'flags': 0}, {'version': 1755373746387, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 4, 'permission_overwrites': [], 'parent_id': '1406357323605213305', 'name': 'notes', 'last_message_id': None, 'id': '1406363275905728542', 'flags': 0}, {'version': 1755373746412, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 5, 'permission_overwrites': [], 'parent_id': '1406357323605213305', 'name': 'links', 'last_message_id': None, 'id': '1406363329597014037', 'flags': 0}, {'version': 1755373568222, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Info', 'id': '1406363407682371685', 'flags': 0}, {'version': 1755373746376, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 3, 'permission_overwrites': [], 'parent_id': '1406357323605213305', 'name': 'check-in', 'last_message_id': None, 'id': '1406363462765908010', 'flags': 0}, {'version': 1755373657961, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1406363407682371685', 'name': 'what-is-this', 'last_message_id': None, 'id': '1406363780446814329', 'flags': 0}, {'version': 1755373745078, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 7, 'permission_overwrites': [], 'parent_id': '1406363170464989184', 'name': 'check-in', 'last_message_id': None, 'id': '1406363959086288916', 'flags': 0}, {'version': 1755373745087, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 8, 'permission_overwrites': [], 'parent_id': '1406363170464989184', 'name': 'notes', 'last_message_id': None, 'id': '1406364058969571539', 'flags': 0}, {'version': 1755373745093, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 9, 'permission_overwrites': [], 'parent_id': '1406363170464989184', 'name': 'links', 'last_message_id': None, 'id': '1406364106834837704', 'flags': 0}, {'version': 1755373746362, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [], 'parent_id': '1406357323605213305', 'name': 'goals', 'last_message_id': None, 'id': '1406364130692169830', 'flags': 0}, {'version': 1755373745068, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 6, 'permission_overwrites': [], 'parent_id': '1406363170464989184', 'name': 'goals', 'last_message_id': '1406364509551198271', 'id': '1406364148912230522', 'flags': 0}, {'version': 1756055528549, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 10, 'permission_overwrites': [], 'parent_id': '1406363407682371685', 'nsfw': False, 'name': 'test', 'last_message_id': '1409306744890327091', 'id': '1409223768605458643', 'flags': 0}]}}
[2025-08-24 18:42:37] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-24 18:42:37] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '5730e9ccad0a5f9b6426fc8aac02dd45', 'members': [{'user': {'username': 'yourgoodpalmaxim', 'public_flags': 0, 'primary_guild': None, 'id': '334465552611278850', 'global_name': 'YourGoodPalMaxim', 'display_name_styles': None, 'display_name': 'YourGoodPalMaxim', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '4a0bb0a5d0b219e2edd0bf18056320bc'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-16T19:21:54.648000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'LockBot', 'public_flags': 0, 'primary_guild': None, 'id': '1409202365466415308', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0702', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1409210890586161204'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-24T16:20:58.433118+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1406357322699378799', 'chunk_index': 0, 'chunk_count': 1}}
[2025-08-24 18:42:37] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-24 18:42:37] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1406357322699378799.
[2025-08-24 18:42:39] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-08-24 18:42:39] [DEBUG   ] discord.client: Dispatching event ready
[2025-08-24 18:42:41] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-08-24T22:42:41.142000+00:00', 'pinned': False, 'nonce': '1409306951950532608', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-16T19:21:54.648000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1409306952537866240', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!info', 'components': [], 'channel_type': 0, 'channel_id': '1409223768605458643', 'author': {'username': 'yourgoodpalmaxim', 'public_flags': 0, 'primary_guild': None, 'id': '334465552611278850', 'global_name': 'YourGoodPalMaxim', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '4a0bb0a5d0b219e2edd0bf18056320bc'}, 'attachments': [], 'guild_id': '1406357322699378799'}}
[2025-08-24 18:42:41] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-24 18:42:41] [DEBUG   ] discord.client: Dispatching event message
[2025-08-24 18:42:41] [DEBUG   ] discord.client: Dispatching event command
[2025-08-24 18:42:41] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-08-24T22:42:41.277000+00:00', 'pinned': False, 'nonce': '7136512576495937204', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1409210890586161204'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-24T16:20:58.433118+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1409306953104097380', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': "!hello - Says Hi :)\n\n!checkin - (format: d/m/y - time(minute - goal worked on) used for daily checkin\n\n!days - tells you how many total days have been logged\n\n!lastlog - tells you when you last logged\n\n!time - tells you how much time you've logged (in minutes\n\n!help - what you're looking at right now", 'components': [], 'channel_type': 0, 'channel_id': '1409223768605458643', 'author': {'username': 'LockBot', 'public_flags': 0, 'primary_guild': None, 'id': '1409202365466415308', 'global_name': None, 'display_name_styles': None, 'discriminator': '0702', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1406357322699378799'}}
[2025-08-24 18:42:41] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-24 18:42:41] [DEBUG   ] discord.client: Dispatching event message
[2025-08-24 18:42:41] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1409223768605458643/messages with {"content":"!hello - Says Hi :)\n\n!checkin - (format: d/m/y - time(minute - goal worked on) used for daily checkin\n\n!days - tells you how many total days have been logged\n\n!lastlog - tells you when you last logged\n\n!time - tells you how much time you've logged (in minutes\n\n!help - what you're looking at right now","components":[],"nonce":"7136512576495937204","enforce_nonce":true,"tts":false} has returned 200
[2025-08-24 18:42:41] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-08-24 18:42:41] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1409223768605458643/messages has received {'type': 0, 'content': "!hello - Says Hi :)\n\n!checkin - (format: d/m/y - time(minute - goal worked on) used for daily checkin\n\n!days - tells you how many total days have been logged\n\n!lastlog - tells you when you last logged\n\n!time - tells you how much time you've logged (in minutes\n\n!help - what you're looking at right now", 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-08-24T22:42:41.277000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1409306953104097380', 'channel_id': '1409223768605458643', 'author': {'id': '1409202365466415308', 'username': 'LockBot', 'avatar': None, 'discriminator': '0702', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '7136512576495937204'}
[2025-08-24 18:42:41] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-08-24 18:42:44] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-08-24T22:42:44.867000+00:00', 'pinned': False, 'nonce': '1409306967926636544', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-16T19:21:54.648000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1409306968161779763', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!help', 'components': [], 'channel_type': 0, 'channel_id': '1409223768605458643', 'author': {'username': 'yourgoodpalmaxim', 'public_flags': 0, 'primary_guild': None, 'id': '334465552611278850', 'global_name': 'YourGoodPalMaxim', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '4a0bb0a5d0b219e2edd0bf18056320bc'}, 'attachments': [], 'guild_id': '1406357322699378799'}}
[2025-08-24 18:42:44] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-24 18:42:44] [DEBUG   ] discord.client: Dispatching event message
[2025-08-24 18:42:44] [DEBUG   ] discord.client: Dispatching event command
[2025-08-24 18:42:45] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 7, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-08-24T22:42:45.112000+00:00', 'pinned': False, 'nonce': '4168046412238875945', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1409210890586161204'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-24T16:20:58.433118+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1409306969189122129', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '```\n\u200bNo Category:\n  checkin \n  days    \n  hello   \n  help    Shows this message\n  info    \n  lastlog \n  time    \n  weekly  \n\nType !help command for more info on a command.\nYou can also type !help category for more info on a category.\n```', 'components': [], 'channel_type': 0, 'channel_id': '1409223768605458643', 'author': {'username': 'LockBot', 'public_flags': 0, 'primary_guild': None, 'id': '1409202365466415308', 'global_name': None, 'display_name_styles': None, 'discriminator': '0702', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1406357322699378799'}}
[2025-08-24 18:42:45] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-24 18:42:45] [DEBUG   ] discord.client: Dispatching event message
[2025-08-24 18:42:45] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1409223768605458643/messages with {"content":"```\n\u200bNo Category:\n  checkin \n  days    \n  hello   \n  help    Shows this message\n  info    \n  lastlog \n  time    \n  weekly  \n\nType !help command for more info on a command.\nYou can also type !help category for more info on a category.\n```","components":[],"nonce":"4168046412238875945","enforce_nonce":true,"tts":false} has returned 200
[2025-08-24 18:42:45] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1409223768605458643/messages has received {'type': 0, 'content': '```\n\u200bNo Category:\n  checkin \n  days    \n  hello   \n  help    Shows this message\n  info    \n  lastlog \n  time    \n  weekly  \n\nType !help command for more info on a command.\nYou can also type !help category for more info on a category.\n```', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-08-24T22:42:45.112000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1409306969189122129', 'channel_id': '1409223768605458643', 'author': {'id': '1409202365466415308', 'username': 'LockBot', 'avatar': None, 'discriminator': '0702', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '4168046412238875945'}
[2025-08-24 18:42:45] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-08-24 18:43:18] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 7.
[2025-08-24 18:43:18] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-24 18:43:42] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 8, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-08-24T22:43:42.005000+00:00', 'pinned': False, 'nonce': '1409307206842580992', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-16T19:21:54.648000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1409307207815925801', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!info', 'components': [], 'channel_type': 0, 'channel_id': '1409223768605458643', 'author': {'username': 'yourgoodpalmaxim', 'public_flags': 0, 'primary_guild': None, 'id': '334465552611278850', 'global_name': 'YourGoodPalMaxim', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '4a0bb0a5d0b219e2edd0bf18056320bc'}, 'attachments': [], 'guild_id': '1406357322699378799'}}
[2025-08-24 18:43:42] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-24 18:43:42] [DEBUG   ] discord.client: Dispatching event message
[2025-08-24 18:43:42] [DEBUG   ] discord.client: Dispatching event command
[2025-08-24 18:43:42] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 9, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-08-24T22:43:42.312000+00:00', 'pinned': False, 'nonce': '4968651164024977409', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1409210890586161204'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-24T16:20:58.433118+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1409307209103310849', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': "!hello - Says Hi :)\n\n!checkin - (format: d/m/y - time(minutes) - goal worked on used for daily checkin\n\n!days - tells you how many total days have been logged\n\n!lastlog - tells you when you last logged\n\n!time - tells you how much time you've logged (in minutes\n\n!info - what you're looking at right now", 'components': [], 'channel_type': 0, 'channel_id': '1409223768605458643', 'author': {'username': 'LockBot', 'public_flags': 0, 'primary_guild': None, 'id': '1409202365466415308', 'global_name': None, 'display_name_styles': None, 'discriminator': '0702', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1406357322699378799'}}
[2025-08-24 18:43:42] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-24 18:43:42] [DEBUG   ] discord.client: Dispatching event message
[2025-08-24 18:43:42] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1409223768605458643/messages with {"content":"!hello - Says Hi :)\n\n!checkin - (format: d/m/y - time(minutes) - goal worked on used for daily checkin\n\n!days - tells you how many total days have been logged\n\n!lastlog - tells you when you last logged\n\n!time - tells you how much time you've logged (in minutes\n\n!info - what you're looking at right now","components":[],"nonce":"4968651164024977409","enforce_nonce":true,"tts":false} has returned 200
[2025-08-24 18:43:42] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1409223768605458643/messages has received {'type': 0, 'content': "!hello - Says Hi :)\n\n!checkin - (format: d/m/y - time(minutes) - goal worked on used for daily checkin\n\n!days - tells you how many total days have been logged\n\n!lastlog - tells you when you last logged\n\n!time - tells you how much time you've logged (in minutes\n\n!info - what you're looking at right now", 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-08-24T22:43:42.312000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1409307209103310849', 'channel_id': '1409223768605458643', 'author': {'id': '1409202365466415308', 'username': 'LockBot', 'avatar': None, 'discriminator': '0702', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '4968651164024977409'}
[2025-08-24 18:43:42] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-08-24 18:43:59] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 9.
[2025-08-24 18:43:59] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
